# Auto-generated by scripts/gen_vectors.py (seed=12345, n=200)
# format: data_hex parity_mode inject_bad_parity inject_bad_stop expected_outcome
# parity_mode: 1=EVEN 2=ODD  (see rtl/uart_defs.vh)
00 1 0 0 VALID
00 1 1 0 PARITY_ERROR
00 1 0 1 FRAMING_ERROR
00 2 0 0 VALID
00 2 1 0 PARITY_ERROR
00 2 0 1 FRAMING_ERROR
FF 1 0 0 VALID
FF 1 1 0 PARITY_ERROR
FF 1 0 1 FRAMING_ERROR
FF 2 0 0 VALID
FF 2 1 0 PARITY_ERROR
FF 2 0 1 FRAMING_ERROR
55 1 0 0 VALID
55 1 1 0 PARITY_ERROR
55 1 0 1 FRAMING_ERROR
55 2 0 0 VALID
55 2 1 0 PARITY_ERROR
55 2 0 1 FRAMING_ERROR
AA 1 0 0 VALID
AA 1 1 0 PARITY_ERROR
AA 1 0 1 FRAMING_ERROR
AA 2 0 0 VALID
AA 2 1 0 PARITY_ERROR
AA 2 0 1 FRAMING_ERROR
01 1 0 0 VALID
01 1 1 0 PARITY_ERROR
01 1 0 1 FRAMING_ERROR
01 2 0 0 VALID
01 2 1 0 PARITY_ERROR
01 2 0 1 FRAMING_ERROR
80 1 0 0 VALID
80 1 1 0 PARITY_ERROR
80 1 0 1 FRAMING_ERROR
80 2 0 0 VALID
80 2 1 0 PARITY_ERROR
80 2 0 1 FRAMING_ERROR
7F 1 0 0 VALID
7F 1 1 0 PARITY_ERROR
7F 1 0 1 FRAMING_ERROR
7F 2 0 0 VALID
7F 2 1 0 PARITY_ERROR
7F 2 0 1 FRAMING_ERROR
FE 1 0 0 VALID
FE 1 1 0 PARITY_ERROR
FE 1 0 1 FRAMING_ERROR
FE 2 0 0 VALID
FE 2 1 0 PARITY_ERROR
FE 2 0 1 FRAMING_ERROR
D5 1 0 1 FRAMING_ERROR
98 2 0 1 FRAMING_ERROR
8A 2 0 0 VALID
3F 2 0 0 VALID
59 1 0 0 VALID
2E 2 1 0 PARITY_ERROR
55 1 0 0 VALID
27 1 0 1 FRAMING_ERROR
A4 1 0 0 VALID
0D 2 0 0 VALID
53 1 0 0 VALID
D4 1 0 1 FRAMING_ERROR
5D 2 0 0 VALID
A8 1 0 0 VALID
FF 1 1 0 PARITY_ERROR
5F 2 1 0 PARITY_ERROR
42 1 1 1 BOTH_ERRORS
9A 1 0 0 VALID
75 2 0 0 VALID
50 2 0 0 VALID
19 1 1 0 PARITY_ERROR
28 2 1 1 BOTH_ERRORS
5B 1 0 1 FRAMING_ERROR
BC 1 1 0 PARITY_ERROR
3E 2 1 0 PARITY_ERROR
07 2 0 0 VALID
D7 1 0 0 VALID
3D 1 0 0 VALID
54 2 0 0 VALID
53 1 0 0 VALID
2E 1 0 0 VALID
FD 1 0 1 FRAMING_ERROR
